risk_id,risk_type,risk_level,related_object,description,suggestion,status,created_at
RLOG00111,物流延误,Critical,YT2604042817312,成都双流仓 到 郑州 的 中通快递 运单延误 72 小时，商品为 九阳空气炸锅无油薯条家用新款智能炸锅KL J63A。,跟进承运商时效，必要时切换加急线路或调整发货仓。,open,2026-04-03 10:00:00
RLOG00112,物流延误,Critical,YT2604089322045,成都双流仓 到 武汉 的 中通快递 运单延误 72 小时，商品为 秋水伊人格纹连衣裙2021年夏装新款女装高腰短款小裙子6120902851。,跟进承运商时效，必要时切换加急线路或调整发货仓。,open,2026-04-07 10:00:00
RLOG00113,物流延误,Critical,YT2604089360298,上海嘉定仓 到 重庆 的 德邦物流 运单延误 72 小时，商品为 巴拉巴拉女中童连衣裙22112200213。,跟进承运商时效，必要时切换加急线路或调整发货仓。,open,2026-04-07 10:00:00
RLOG00114,物流延误,Critical,YT2604043314249,武汉东西湖仓 到 郑州 的 中通快递 运单延误 72 小时，商品为 066 中国黄金足金狐狸吊坠。,跟进承运商时效，必要时切换加急线路或调整发货仓。,open,2026-04-03 10:00:00
RLOG00115,物流延误,Critical,YT2604091572992,成都双流仓 到 南昌 的 韵达物流 运单延误 72 小时，商品为 gxgkids童装男童仿羊羔毛牛仔拼接宽松外套KB117025E。,跟进承运商时效，必要时切换加急线路或调整发货仓。,open,2026-04-08 10:00:00
RLOG00116,物流延误,Critical,YT2604043434270,北京通州仓 到 天津 的 申通快递 运单延误 72 小时，商品为 倩碧黄油乳液黄油125ml 05。,跟进承运商时效，必要时切换加急线路或调整发货仓。,open,2026-04-03 10:00:00
RLOG00117,物流延误,Critical,YT2604043899669,武汉东西湖仓 到 长春 的 顺丰速运 运单延误 72 小时，商品为 薇诺娜悠享夏日三件装60g 清爽防晒。,跟进承运商时效，必要时切换加急线路或调整发货仓。,open,2026-04-03 10:00:00
RLOG00118,物流延误,Critical,YT2604045362129,成都双流仓 到 厦门 的 申通快递 运单延误 72 小时，商品为 长款拼接羽绒服。,跟进承运商时效，必要时切换加急线路或调整发货仓。,open,2026-04-03 10:00:00
RLOG00119,物流延误,Critical,YT2604045604805,北京通州仓 到 上海 的 圆通快递 运单延误 72 小时，商品为 QG1811大码女装毛衣QLXQG1811MMN。,跟进承运商时效，必要时切换加急线路或调整发货仓。,open,2026-04-03 10:00:00
RLOG00120,物流延误,Critical,YT2604047006597,武汉东西湖仓 到 福州 的 顺丰速运 运单延误 72 小时，商品为 FILA 斐乐官方情侣挎包 2021年夏季新款百搭时尚通勤挎包男女情侣。,跟进承运商时效，必要时切换加急线路或调整发货仓。,open,2026-04-03 10:00:00
RCOST00121,成本异常,High,P060,华为 HUAWEI Mate 40 RS 保时捷麒麟9000 8GB 256GB陶瓷白5G手机 在 2026-06-30 总成本 10096026.3 元，采购、仓储、运输或退货成本需要复核。,拆分成本结构，优先复核采购价、仓储周转和运输线路成本。,open,2026-06-30 11:00:00
RCOST00122,成本异常,High,P019,中国黄金 财富金条 50克 在 2026-06-11 总成本 3548963.16 元，采购、仓储、运输或退货成本需要复核。,拆分成本结构，优先复核采购价、仓储周转和运输线路成本。,open,2026-06-11 11:00:00
RCOST00123,成本异常,High,P008,Apple iPhone 11 移动联通电信4G手机 在 2026-06-03 总成本 2671656.36 元，采购、仓储、运输或退货成本需要复核。,拆分成本结构，优先复核采购价、仓储周转和运输线路成本。,open,2026-06-03 11:00:00
RCOST00124,成本异常,High,P058,蕾丝款色织提花四件套 在 2026-06-06 总成本 2143976.38 元，采购、仓储、运输或退货成本需要复核。,拆分成本结构，优先复核采购价、仓储周转和运输线路成本。,open,2026-06-06 11:00:00
RCOST00125,成本异常,High,P060,华为 HUAWEI Mate 40 RS 保时捷麒麟9000 8GB 256GB陶瓷白5G手机 在 2026-06-17 总成本 1892510.03 元，采购、仓储、运输或退货成本需要复核。,拆分成本结构，优先复核采购价、仓储周转和运输线路成本。,open,2026-06-17 11:00:00
RCOST00126,成本异常,High,P022,后天气丹花献光彩紧颜系列7件套 在 2026-06-04 总成本 1208278.5 元，采购、仓储、运输或退货成本需要复核。,拆分成本结构，优先复核采购价、仓储周转和运输线路成本。,open,2026-06-04 11:00:00
RCOST00127,成本异常,High,P003,Apple iPhone 11 64G 移动联通电信4G全网通手机 2020新款 在 2026-07-04 总成本 1196100.1 元，采购、仓储、运输或退货成本需要复核。,拆分成本结构，优先复核采购价、仓储周转和运输线路成本。,open,2026-07-04 11:00:00
RCOST00128,成本异常,High,P009,后天气丹花献光彩紧颜系列礼盒7件套 在 2026-06-27 总成本 1042819.17 元，采购、仓储、运输或退货成本需要复核。,拆分成本结构，优先复核采购价、仓储周转和运输线路成本。,open,2026-06-27 11:00:00
RCOST00129,成本异常,High,P012,Apple iPhone 11 128G 移动联通电信4G全网通手机 2020新款 在 2026-05-29 总成本 1012811.21 元，采购、仓储、运输或退货成本需要复核。,拆分成本结构，优先复核采购价、仓储周转和运输线路成本。,open,2026-05-29 11:00:00
RCOST00130,成本异常,High,P040,贵州茅台 飞天茅台白酒 酱香型 500ml 在 2026-06-24 总成本 822861.16 元，采购、仓储、运输或退货成本需要复核。,拆分成本结构，优先复核采购价、仓储周转和运输线路成本。,open,2026-06-24 11:00:00
RCOST00131,成本异常,High,P015,胖虎子安 路易威登 99新 公价10200 202103301613 在 2026-06-03 总成本 782139.07 元，采购、仓储、运输或退货成本需要复核。,拆分成本结构，优先复核采购价、仓储周转和运输线路成本。,open,2026-06-03 11:00:00
RCOST00132,成本异常,High,P032,AOEO阿纯生日会421大套盒 在 2026-05-29 总成本 770512.52 元，采购、仓储、运输或退货成本需要复核。,拆分成本结构，优先复核采购价、仓储周转和运输线路成本。,open,2026-05-29 11:00:00
RCOST00133,成本异常,High,P007,苹果 Apple iPhone 12 全网通5G 在 2026-06-27 总成本 655743.29 元，采购、仓储、运输或退货成本需要复核。,拆分成本结构，优先复核采购价、仓储周转和运输线路成本。,open,2026-06-27 11:00:00
RCOST00134,成本异常,High,P059,小米1 5匹新一级巨省电变频静音睡眠版挂机家用空调KFR 35GW S1A1 在 2026-06-27 总成本 624951.05 元，采购、仓储、运输或退货成本需要复核。,拆分成本结构，优先复核采购价、仓储周转和运输线路成本。,open,2026-06-27 11:00:00
RCOST00135,成本异常,High,P058,蕾丝款色织提花四件套 在 2026-06-04 总成本 577043.97 元，采购、仓储、运输或退货成本需要复核。,拆分成本结构，优先复核采购价、仓储周转和运输线路成本。,open,2026-06-04 11:00:00
RCOST00136,成本异常,High,P031,HG DZ D21372 鲸波足金吊坠 在 2026-06-26 总成本 490791.53 元，采购、仓储、运输或退货成本需要复核。,拆分成本结构，优先复核采购价、仓储周转和运输线路成本。,open,2026-06-26 11:00:00
RCOST00137,成本异常,High,P041,Apple iPhone 11移动联通电信4G手机 128G黑色 在 2026-05-23 总成本 452563.73 元，采购、仓储、运输或退货成本需要复核。,拆分成本结构，优先复核采购价、仓储周转和运输线路成本。,open,2026-05-23 11:00:00
RCOST00138,成本异常,High,P011,抗蓝光眼霜 小棕瓶套装 在 2026-06-19 总成本 416425.36 元，采购、仓储、运输或退货成本需要复核。,拆分成本结构，优先复核采购价、仓储周转和运输线路成本。,open,2026-06-19 11:00:00
RCOST00139,成本异常,High,P045,苹果Apple iPhone 12 5G手机 128G版本 在 2026-06-24 总成本 402529.45 元，采购、仓储、运输或退货成本需要复核。,拆分成本结构，优先复核采购价、仓储周转和运输线路成本。,open,2026-06-24 11:00:00
RCOST00140,成本异常,High,P057,苏泊尔304不锈钢高压锅悦提燃气电磁炉通用1 2 3人 在 2026-06-12 总成本 343275.18 元，采购、仓储、运输或退货成本需要复核。,拆分成本结构，优先复核采购价、仓储周转和运输线路成本。,open,2026-06-12 11:00:00
RCOST00141,成本异常,High,P011,抗蓝光眼霜 小棕瓶套装 在 2026-06-02 总成本 302244.21 元，采购、仓储、运输或退货成本需要复核。,拆分成本结构，优先复核采购价、仓储周转和运输线路成本。,open,2026-06-02 11:00:00
RCOST00142,成本异常,High,P012,Apple iPhone 11 128G 移动联通电信4G全网通手机 2020新款 在 2026-05-24 总成本 281336.45 元，采购、仓储、运输或退货成本需要复核。,拆分成本结构，优先复核采购价、仓储周转和运输线路成本。,open,2026-05-24 11:00:00
RCOST00143,成本异常,High,P037,A雅鹿 鄂尔多斯纯羊毛六斤秋冬双人被 在 2026-05-26 总成本 279949.37 元，采购、仓储、运输或退货成本需要复核。,拆分成本结构，优先复核采购价、仓储周转和运输线路成本。,open,2026-05-26 11:00:00
RCOST00144,成本异常,High,P018,Nintendo Switch任天堂 健身环大冒险游戏套装 在 2026-07-04 总成本 260297.05 元，采购、仓储、运输或退货成本需要复核。,拆分成本结构，优先复核采购价、仓储周转和运输线路成本。,open,2026-07-04 11:00:00
RCOST00145,成本异常,High,P041,Apple iPhone 11移动联通电信4G手机 128G黑色 在 2026-06-26 总成本 212427.87 元，采购、仓储、运输或退货成本需要复核。,拆分成本结构，优先复核采购价、仓储周转和运输线路成本。,open,2026-06-26 11:00:00
RCOST00146,成本异常,High,P015,胖虎子安 路易威登 99新 公价10200 202103301613 在 2026-06-23 总成本 210199.88 元，采购、仓储、运输或退货成本需要复核。,拆分成本结构，优先复核采购价、仓储周转和运输线路成本。,open,2026-06-23 11:00:00
RCOST00147,成本异常,High,P014,中国黄金 投资金条 50克 在 2026-06-19 总成本 182431.93 元，采购、仓储、运输或退货成本需要复核。,拆分成本结构，优先复核采购价、仓储周转和运输线路成本。,open,2026-06-19 11:00:00
RCOST00148,成本异常,High,P009,后天气丹花献光彩紧颜系列礼盒7件套 在 2026-06-19 总成本 172756.19 元，采购、仓储、运输或退货成本需要复核。,拆分成本结构，优先复核采购价、仓储周转和运输线路成本。,open,2026-06-19 11:00:00
RCOST00149,成本异常,High,P059,小米1 5匹新一级巨省电变频静音睡眠版挂机家用空调KFR 35GW S1A1 在 2026-05-29 总成本 171966.4 元，采购、仓储、运输或退货成本需要复核。,拆分成本结构，优先复核采购价、仓储周转和运输线路成本。,open,2026-05-29 11:00:00
RCOST00150,成本异常,High,P016,Apple iPhone 12 128GB 支持移动联通电信5G 双卡双待手机 在 2026-06-20 总成本 157511.47 元，采购、仓储、运输或退货成本需要复核。,拆分成本结构，优先复核采购价、仓储周转和运输线路成本。,open,2026-06-20 11:00:00
RCOST00151,成本异常,High,P041,Apple iPhone 11移动联通电信4G手机 128G黑色 在 2026-05-28 总成本 157011.9 元，采购、仓储、运输或退货成本需要复核。,拆分成本结构，优先复核采购价、仓储周转和运输线路成本。,open,2026-05-28 11:00:00
RCOST00152,成本异常,High,P008,Apple iPhone 11 移动联通电信4G手机 在 2026-06-18 总成本 156304.92 元，采购、仓储、运输或退货成本需要复核。,拆分成本结构，优先复核采购价、仓储周转和运输线路成本。,open,2026-06-18 11:00:00
RCOST00153,成本异常,High,P014,中国黄金 投资金条 50克 在 2026-06-06 总成本 154365.48 元，采购、仓储、运输或退货成本需要复核。,拆分成本结构，优先复核采购价、仓储周转和运输线路成本。,open,2026-06-06 11:00:00
RCOST00154,成本异常,High,P048,苹果 Apple iPhone 11 128GB 新包装 在 2026-06-24 总成本 153170.17 元，采购、仓储、运输或退货成本需要复核。,拆分成本结构，优先复核采购价、仓储周转和运输线路成本。,open,2026-06-24 11:00:00
RCOST00155,成本异常,High,P005,苹果Apple iPhone 11 全网通4G手机 双卡双待 在 2026-05-26 总成本 145874.33 元，采购、仓储、运输或退货成本需要复核。,拆分成本结构，优先复核采购价、仓储周转和运输线路成本。,open,2026-05-26 11:00:00
RCOST00156,成本异常,High,P008,Apple iPhone 11 移动联通电信4G手机 在 2026-07-02 总成本 138937.71 元，采购、仓储、运输或退货成本需要复核。,拆分成本结构，优先复核采购价、仓储周转和运输线路成本。,open,2026-07-02 11:00:00
RCOST00157,成本异常,High,P020,雪花秀限定明星润燥滋盈礼盒 在 2026-06-29 总成本 133828.65 元，采购、仓储、运输或退货成本需要复核。,拆分成本结构，优先复核采购价、仓储周转和运输线路成本。,open,2026-06-29 11:00:00
RCOST00158,成本异常,High,P057,苏泊尔304不锈钢高压锅悦提燃气电磁炉通用1 2 3人 在 2026-06-05 总成本 127573.04 元，采购、仓储、运输或退货成本需要复核。,拆分成本结构，优先复核采购价、仓储周转和运输线路成本。,open,2026-06-05 11:00:00
RCOST00159,成本异常,High,P027,精典泰迪医护级婴儿纸尿裤超薄透气尿不湿拉拉裤 在 2026-06-20 总成本 127160.6 元，采购、仓储、运输或退货成本需要复核。,拆分成本结构，优先复核采购价、仓储周转和运输线路成本。,open,2026-06-20 11:00:00
RCOST00160,成本异常,High,P014,中国黄金 投资金条 50克 在 2026-05-23 总成本 126299.03 元，采购、仓储、运输或退货成本需要复核。,拆分成本结构，优先复核采购价、仓储周转和运输线路成本。,open,2026-05-23 11:00:00
